date,spill,forebay
2005-06-29 04:00:00,121.7,105.744125
2005-06-29 22:00:00,152.6,106.151832
2005-06-29 23:00:00,155.0,106.151832
2005-06-30 00:00:00,153.8,106.282723
2005-06-30 01:00:00,153.8,106.282723
2005-06-30 02:00:00,153.5,106.422018
2005-06-30 03:00:00,153.5,106.55308
2005-06-30 04:00:00,123.1,106.422018
2005-06-30 22:00:00,152.7,107.480315
2005-06-30 23:00:00,155.0,107.752957
2005-07-01 00:00:00,154.3,107.329843
2005-07-01 01:00:00,153.9,107.33945
2005-07-01 02:00:00,154.2,107.480315
2005-07-01 03:00:00,153.8,107.068063
2005-07-01 04:00:00,121.0,106.806283
2005-07-01 22:00:00,151.8,107.086614
2005-07-01 23:00:00,154.4,107.095926
2005-07-02 00:00:00,154.2,106.815203
2005-07-02 01:00:00,153.9,106.684142
2005-07-02 02:00:00,153.9,106.55308
2005-07-02 03:00:00,153.8,106.55308
2005-07-02 04:00:00,123.7,106.701708
2005-07-02 22:00:00,150.4,106.282723
2005-07-02 23:00:00,153.9,106.282723
2005-07-03 00:00:00,154.1,106.422018
2005-07-03 01:00:00,153.7,106.282723
2005-07-03 02:00:00,153.5,106.020942
2005-07-03 03:00:00,153.4,106.028834
2005-07-03 04:00:00,127.6,106.036745
2005-07-03 22:00:00,149.6,106.282723
2005-07-03 23:00:00,153.9,106.413613
2005-07-04 00:00:00,154.1,106.413613
2005-07-04 01:00:00,154.1,106.413613
2005-07-04 02:00:00,153.6,106.413613
2005-07-04 03:00:00,150.5,106.413613
2005-07-04 04:00:00,111.0,106.684142
2005-07-05 22:00:00,151.1,107.752957
2005-07-05 23:00:00,154.4,107.752957
2005-07-06 00:00:00,154.3,107.752957
2005-07-06 01:00:00,149.7,107.752957
2005-07-06 02:00:00,126.5,107.894737
2005-07-06 03:00:00,110.8,107.905138
2005-07-07 22:00:00,149.3,107.227332
2005-07-07 23:00:00,155.4,107.227332
2005-07-08 00:00:00,155.2,107.378129
2005-07-08 01:00:00,154.9,106.824147
2005-07-08 02:00:00,155.2,106.982872
2005-07-08 03:00:00,155.1,106.570302
2005-07-08 04:00:00,115.8,106.438896
2005-07-08 22:00:00,127.6,106.438896
2005-07-08 23:00:00,130.7,106.438896
2005-07-09 00:00:00,135.4,106.438896
2005-07-09 01:00:00,160.2,106.30749
2005-07-09 02:00:00,160.3,106.447368
2005-07-09 03:00:00,160.4,106.438896
2005-07-09 04:00:00,127.8,106.719368
2005-07-09 22:00:00,126.5,107.894737
2005-07-09 23:00:00,130.0,107.752957
2005-07-10 00:00:00,129.7,107.894737
2005-07-10 01:00:00,129.6,108.17942
2005-07-10 02:00:00,129.8,107.752957
2005-07-10 03:00:00,129.8,107.894737
2005-07-10 04:00:00,111.8,107.621551
2005-07-10 22:00:00,145.8,108.661417
2005-07-10 23:00:00,149.4,108.661417
2005-07-11 00:00:00,130.8,108.815789
2005-07-11 01:00:00,129.4,108.672799
2005-07-11 02:00:00,129.1,108.39895
2005-07-11 03:00:00,128.9,108.39895
2005-07-11 04:00:00,108.1,108.39895
2005-07-11 22:00:00,151.0,108.104575
2005-07-11 23:00:00,154.5,108.387942
2005-07-12 00:00:00,152.4,108.104575
2005-07-12 01:00:00,134.7,108.235294
2005-07-12 02:00:00,126.1,108.093995
2005-07-12 03:00:00,116.0,108.235294
2005-07-12 22:00:00,121.8,107.301173
2005-07-12 23:00:00,115.1,107.170795
2005-07-13 00:00:00,115.1,107.040417
2005-07-13 01:00:00,114.9,106.910039
2005-07-13 02:00:00,115.0,106.779661
2005-07-13 03:00:00,115.0,106.649283
2005-07-13 22:00:00,140.2,105.744125
2005-07-13 23:00:00,144.5,105.46875
2005-07-14 00:00:00,144.6,105.751634
2005-07-14 01:00:00,144.0,105.483029
2005-07-14 02:00:00,144.1,105.620915
2005-07-14 03:00:00,144.0,105.215124
2005-07-14 04:00:00,113.1,105.221932
2005-07-14 22:00:00,149.1,107.611549
2005-07-14 23:00:00,155.0,107.884363
2005-07-15 00:00:00,155.1,108.015769
2005-07-15 01:00:00,154.8,108.147175
2005-07-15 02:00:00,154.6,108.278581
2005-07-15 03:00:00,154.6,108.541393
2005-07-15 04:00:00,117.7,108.530184
2005-07-15 22:00:00,152.9,109.090909
2005-07-15 23:00:00,155.5,108.661417
2005-07-16 00:00:00,155.4,109.090909
2005-07-16 01:00:00,155.5,108.804205
2005-07-16 02:00:00,155.5,109.090909
2005-07-16 03:00:00,155.2,108.541393
2005-07-16 04:00:00,123.2,108.267717
2005-07-16 22:00:00,150.0,107.198953
2005-07-16 23:00:00,155.8,107.329843
2005-07-17 00:00:00,155.0,107.189542
2005-07-17 01:00:00,154.9,107.460733
2005-07-17 02:00:00,154.8,107.460733
2005-07-17 03:00:00,154.8,107.329843
2005-07-17 04:00:00,126.2,107.068063
2005-07-17 22:00:00,144.6,108.409987
2005-07-17 23:00:00,136.4,108.695652
2005-07-18 00:00:00,135.4,108.695652
2005-07-18 01:00:00,135.3,108.409987
2005-07-18 02:00:00,128.5,108.695652
2005-07-18 03:00:00,112.6,108.83905
2005-07-18 22:00:00,146.6,110.27668
2005-07-18 23:00:00,151.7,110.158311
2005-07-19 00:00:00,135.6,109.881423
2005-07-19 01:00:00,122.1,109.894459
2005-07-19 02:00:00,115.8,109.762533
2005-07-19 03:00:00,115.7,109.486166
2005-07-19 22:00:00,112.3,107.368421
2005-07-19 23:00:00,110.7,106.96452
2005-07-20 00:00:00,110.7,106.982872
2005-07-20 01:00:00,110.2,106.570302
2005-07-20 02:00:00,108.7,106.30749
2005-07-20 03:00:00,105.3,106.455863
2005-07-20 22:00:00,108.9,105.511811
2005-07-20 23:00:00,109.2,105.65046
2005-07-21 00:00:00,108.9,105.519054
2005-07-21 22:00:00,125.2,107.275132
2005-07-21 23:00:00,129.0,107.407407
2005-07-22 00:00:00,128.6,107.265522
2005-07-22 01:00:00,128.3,107.81457
2005-07-22 02:00:00,128.4,107.661823
2005-07-22 03:00:00,128.4,107.651715
2005-07-22 04:00:00,104.9,107.651715
2005-07-22 22:00:00,126.5,106.266319
2005-07-22 23:00:00,129.1,106.544503
2005-07-23 00:00:00,129.1,106.266319
2005-07-23 01:00:00,128.5,106.13577
2005-07-23 02:00:00,128.4,106.27451
2005-07-23 03:00:00,128.4,106.413613
2005-07-23 04:00:00,105.9,106.282723
2005-07-23 22:00:00,130.2,105.890052
2005-07-23 23:00:00,135.7,105.620915
2005-07-24 00:00:00,135.5,105.359477
2005-07-24 01:00:00,135.5,105.228758
2005-07-24 02:00:00,135.7,105.098039
2005-07-24 03:00:00,135.5,105.104712
2005-07-24 04:00:00,109.7,105.098039
2005-07-25 22:00:00,132.7,105.228758
2005-07-25 23:00:00,135.7,105.098039
2005-07-26 00:00:00,135.6,105.235602
2005-07-26 01:00:00,135.5,105.235602
2005-07-26 02:00:00,135.4,104.960836
2005-07-26 03:00:00,135.3,105.228758
2005-07-26 04:00:00,115.0,105.497382
2005-07-26 22:00:00,132.2,108.39895
2005-07-26 23:00:00,135.0,108.39895
2005-07-27 00:00:00,134.5,108.39895
2005-07-27 01:00:00,134.6,108.672799
2005-07-27 02:00:00,134.5,108.661417
2005-07-27 03:00:00,118.0,108.804205
2005-07-27 04:00:00,100.2,108.792651
2005-07-27 22:00:00,108.0,110.540184
2005-07-27 23:00:00,109.6,110.394737
2005-07-28 00:00:00,109.6,110.394737
2005-07-28 01:00:00,109.6,110.408432
2005-07-28 02:00:00,109.5,110.27668
2005-07-28 03:00:00,109.4,110.27668
