date,tailwater_tdg
2005-06-30 03:00:00,119.6592
2005-06-30 04:00:00,115.2031
2005-06-30 22:00:00,119.9474
2005-06-30 23:00:00,119.6592
2005-07-01 00:00:00,120.5766
2005-07-01 01:00:00,120.1834
2005-07-01 02:00:00,119.5025
2005-07-01 03:00:00,119.6334
2005-07-01 04:00:00,115.0523
2005-07-01 22:00:00,120.1834
2005-07-01 23:00:00,119.9213
2005-07-02 00:00:00,120.1834
2005-07-02 01:00:00,120.0523
2005-07-02 02:00:00,120.5766
2005-07-02 03:00:00,120.2879
2005-07-02 04:00:00,116.3612
2005-07-02 22:00:00,119.6334
2005-07-02 23:00:00,119.6334
2005-07-03 00:00:00,119.2408
2005-07-03 01:00:00,119.5025
2005-07-03 02:00:00,119.477
2005-07-03 03:00:00,119.6334
2005-07-03 04:00:00,115.4449
2005-07-03 22:00:00,119.5025
2005-07-03 23:00:00,120.4188
2005-07-04 00:00:00,120.157
2005-07-04 01:00:00,120.3921
2005-07-04 02:00:00,119.477
2005-07-04 03:00:00,119.7385
2005-07-04 04:00:00,114.9019
2005-07-05 22:00:00,119.342
2005-07-05 23:00:00,119.2104
2005-07-06 00:00:00,119.0789
2005-07-06 01:00:00,118.0262
2005-07-06 02:00:00,116.842
2005-07-06 03:00:00,117.2368
2005-07-07 22:00:00,119.9736
2005-07-07 23:00:00,120.105
2005-07-08 00:00:00,119.8422
2005-07-08 01:00:00,119.8422
2005-07-08 02:00:00,119.5794
2005-07-08 03:00:00,120.105
2005-07-08 04:00:00,115.1116
2005-07-08 22:00:00,119.5794
2005-07-08 23:00:00,119.448
2005-07-09 00:00:00,120.5262
2005-07-09 01:00:00,119.5794
2005-07-09 02:00:00,119.5794
2005-07-09 03:00:00,119.8422
2005-07-09 04:00:00,115.3744
2005-07-09 22:00:00,118.5282
2005-07-09 23:00:00,118.8157
2005-07-10 00:00:00,118.6841
2005-07-10 01:00:00,118.6841
2005-07-10 02:00:00,118.6596
2005-07-10 03:00:00,118.6596
2005-07-10 04:00:00,115.1116
2005-07-10 22:00:00,120.3411
2005-07-10 23:00:00,120.2099
2005-07-11 00:00:00,118.6351
2005-07-11 01:00:00,118.7663
2005-07-11 02:00:00,118.6107
2005-07-11 03:00:00,118.6351
2005-07-11 04:00:00,114.9409
2005-07-11 22:00:00,120.157
2005-07-11 23:00:00,119.6078
2005-07-12 00:00:00,119.6078
2005-07-12 01:00:00,119.0849
2005-07-12 02:00:00,116.7319
2005-07-12 03:00:00,116.4705
2005-07-12 22:00:00,117.8617
2005-07-12 23:00:00,117.0794
2005-07-13 00:00:00,116.9491
2005-07-13 01:00:00,116.6666
2005-07-13 02:00:00,117.0572
2005-07-13 03:00:00,117.0572
2005-07-13 22:00:00,119.9218
2005-07-13 23:00:00,119.7916
2005-07-14 00:00:00,119.7916
2005-07-14 01:00:00,119.7916
2005-07-14 02:00:00,119.9478
2005-07-14 03:00:00,119.8174
2005-07-14 04:00:00,114.9934
2005-07-14 22:00:00,119.8422
2005-07-14 23:00:00,120.2365
2005-07-15 00:00:00,119.8422
2005-07-15 01:00:00,119.5794
2005-07-15 02:00:00,120.4993
2005-07-15 03:00:00,119.8422
2005-07-15 04:00:00,115.5058
2005-07-15 22:00:00,119.1852
2005-07-15 23:00:00,119.1852
2005-07-16 00:00:00,119.448
2005-07-16 01:00:00,119.3166
2005-07-16 02:00:00,119.4225
2005-07-16 03:00:00,119.2913
2005-07-16 04:00:00,115.3542
2005-07-16 22:00:00,119.5025
2005-07-16 23:00:00,119.5025
2005-07-17 00:00:00,119.7643
2005-07-17 01:00:00,119.5025
2005-07-17 02:00:00,119.3716
2005-07-17 03:00:00,119.3716
2005-07-17 04:00:00,115.314
2005-07-17 22:00:00,119.4736
2005-07-17 23:00:00,119.6052
2005-07-18 00:00:00,119.342
2005-07-18 01:00:00,119.7368
2005-07-18 02:00:00,117.2368
2005-07-18 03:00:00,117.1052
2005-07-18 22:00:00,120.4485
2005-07-18 23:00:00,120.0527
2005-07-19 00:00:00,119.525
2005-07-19 01:00:00,116.8642
2005-07-19 02:00:00,116.996
2005-07-19 03:00:00,116.996
2005-07-19 22:00:00,117.1052
2005-07-19 23:00:00,117.3683
2005-07-20 00:00:00,117.3455
2005-07-20 01:00:00,117.3455
2005-07-20 02:00:00,117.4769
2005-07-20 03:00:00,117.6083
2005-07-20 22:00:00,117.3227
2005-07-20 23:00:00,117.1915
2005-07-21 00:00:00,117.3227
2005-07-21 22:00:00,117.9656
2005-07-21 23:00:00,117.8571
2005-07-22 00:00:00,117.8571
2005-07-22 01:00:00,117.9893
2005-07-22 02:00:00,117.8571
2005-07-22 03:00:00,118.0977
2005-07-22 04:00:00,115.1714
2005-07-22 22:00:00,117.2548
2005-07-22 23:00:00,117.7777
2005-07-23 00:00:00,117.4934
2005-07-23 01:00:00,117.885
2005-07-23 02:00:00,118.0156
2005-07-23 03:00:00,117.885
2005-07-23 04:00:00,115.013
2005-07-23 22:00:00,119.7643
2005-07-23 23:00:00,119.477
2005-07-24 00:00:00,119.6078
2005-07-24 01:00:00,119.3463
2005-07-24 02:00:00,119.3463
2005-07-24 03:00:00,119.0849
2005-07-24 04:00:00,115.013
2005-07-25 22:00:00,119.477
2005-07-25 23:00:00,119.477
2005-07-26 00:00:00,119.7385
2005-07-26 01:00:00,119.7385
2005-07-26 02:00:00,119.5822
2005-07-26 03:00:00,119.5822
2005-07-26 04:00:00,115.5352
2005-07-26 22:00:00,119.9736
2005-07-26 23:00:00,119.4225
2005-07-27 00:00:00,119.7108
2005-07-27 01:00:00,119.7108
2005-07-27 02:00:00,119.4225
2005-07-27 03:00:00,117.2141
2005-07-27 04:00:00,115.243
2005-07-27 22:00:00,117.9419
2005-07-27 23:00:00,117.6547
